TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
6823                 , 6823                , 24       , 5        , 1       , 5        , 1       , CREATE                   ,                
6828                 , 4                   , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
6919                 , 91                  , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , kernel RW lock 
6925                 , 6                   , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
6936                 , 10                  , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
6978                 , 42                  , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , kernel RW lock 
6984                 , 6                   , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
6994                 , 9                   , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
7035                 , 40                  , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , kernel RW lock 
7041                 , 6                   , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
7050                 , 9                   , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
7073                 , 23                  , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , kernel RW lock 
7080                 , 6                   , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
7114                 , 34                  , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
7147                 , 33                  , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , kernel RW lock 
7172                 , 25                  , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
7191                 , 18                  , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
7279                 , 88                  , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
7309                 , 29                  , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
8285                 , 975                 , 24       , 6        , 1       , 5        , 1       , CPU MIGRATION            ,                
8291                 , 6                   , 24       , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
36491                , 28200               , 24       , 6        , 1       , 6        , 1       , PREEMPTED                ,                
36512                , 20                  , 24       , 6        , 1       , 6        , 1       , RESTART ON SAME CPU      ,                
72744                , 36231               , 24       , 6        , 1       , 6        , 1       , SLEEPING ON              , cond var       
72757                , 12                  , 24       , 6        , 1       , 6        , 1       , PREEMPTED                ,                
72764                , 7                   , 24       , 5        , 1       , 6        , 1       , CPU MIGRATION            ,                
72769                , 5                   , 24       , 5        , 1       , 5        , 1       , RESTART ON SAME CPU      ,                
72778                , 8                   , 24       , 5        , 1       , 5        , 1       , SLEEPING ON              , cond var       
72786                , 8                   , 24       , 5        , 1       , 5        , 1       , PREEMPTED                ,                
72794                , 7                   , 24       , 21       , 1       , 5        , 1       , CPU MIGRATION            ,                
72799                , 4                   , 24       , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
72813                , 14                  , 24       , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
72820                , 6                   , 24       , 21       , 1       , 21       , 1       , PREEMPTED                ,                
73351                , 531                 , 24       , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
73364                , 12                  , 24       , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
73371                , 7                   , 24       , 21       , 1       , 21       , 1       , PREEMPTED                ,                
76161                , 2790                , 24       , 22       , 1       , 21       , 1       , CPU MIGRATION            ,                
76177                , 15                  , 24       , 22       , 1       , 22       , 1       , RESTART ON SAME CPU      ,                
