TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
7504                 , 7504                , 22       , 26       , 2       , 26       , 2       , CREATE                   ,                
7509                 , 5                   , 22       , 26       , 2       , 26       , 2       , RESTART ON SAME CPU      ,                
7521                 , 12                  , 22       , 26       , 2       , 26       , 2       , SLEEPING ON              , cond var       
7527                 , 5                   , 22       , 26       , 2       , 26       , 2       , PREEMPTED                ,                
9322                 , 1795                , 22       , 10       , 2       , 26       , 2       , CPU MIGRATION            ,                
9332                 , 9                   , 22       , 10       , 2       , 10       , 2       , RESTART ON SAME CPU      ,                
47331                , 37999               , 22       , 10       , 2       , 10       , 2       , SLEEPING ON              , cond var       
47343                , 11                  , 22       , 10       , 2       , 10       , 2       , PREEMPTED                ,                
47824                , 481                 , 22       , 10       , 2       , 10       , 2       , RESTART ON SAME CPU      ,                
47841                , 16                  , 22       , 10       , 2       , 10       , 2       , SLEEPING ON              , cond var       
47849                , 8                   , 22       , 10       , 2       , 10       , 2       , PREEMPTED                ,                
50695                , 2845                , 22       , 10       , 2       , 10       , 2       , RESTART ON SAME CPU      ,                
51133                , 438                 , 22       , 10       , 2       , 10       , 2       , EXIT                     ,                
