TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
6482                 , 6482                , 11       , 9        , 2       , 9        , 2       , CREATE                   ,                
6487                 , 4                   , 11       , 9        , 2       , 9        , 2       , RESTART ON SAME CPU      ,                
6497                 , 10                  , 11       , 9        , 2       , 9        , 2       , SLEEPING ON              , cond var       
6503                 , 6                   , 11       , 9        , 2       , 9        , 2       , PREEMPTED                ,                
7151                 , 647                 , 11       , 13       , 2       , 9        , 2       , CPU MIGRATION            ,                
7157                 , 5                   , 11       , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
44955                , 37797               , 11       , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
44965                , 10                  , 11       , 13       , 2       , 13       , 2       , PREEMPTED                ,                
45714                , 748                 , 11       , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
45726                , 12                  , 11       , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
45746                , 19                  , 11       , 13       , 2       , 13       , 2       , PREEMPTED                ,                
47875                , 2128                , 11       , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
