TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 8        , 2       ,          ,         , BEGIN                    ,                
843                  , 843                 , 1        , 21       , 1       , 21       , 1       , CREATE                   ,                
864                  , 20                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
920                  , 56                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
958                  , 38                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
Threads: 2 Range: 99
Time: 199249 usecs
209260               , 37                  , 2        , 11       , 2       , 13       , 2       , CPU MIGRATION            ,                
209279               , 18                  , 2        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
209300               , 21                  , 2        , 11       , 2       , 11       , 2       , SLEEPING ON              , cond var       
209308               , 8                   , 2        , 11       , 2       , 11       , 2       , PREEMPTED                ,                
212058               , 2750                , 2        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
212080               , 21                  , 2        , 11       , 2       , 11       , 2       , EXIT                     ,                
10982                , 10982               , 2        , 13       , 2       , 13       , 2       , CREATE                   ,                
11001                , 18                  , 2        , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
11089                , 88                  , 2        , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
11112                , 22                  , 2        , 13       , 2       , 13       , 2       , PREEMPTED                ,                
11141                , 29                  , 2        , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
209213               , 198071              , 2        , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
209223               , 10                  , 2        , 13       , 2       , 13       , 2       , PREEMPTED                ,                
1670                 , 711                 , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
2364                 , 694                 , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
2397                 , 33                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
2440                 , 42                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
2927                 , 486                 , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
3013                 , 86                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
3046                 , 33                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
3113                 , 66                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
10968                , 7855                , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
10992                , 23                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
11093                , 100                 , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
209226               , 198133              , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
209246               , 19                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
209307               , 61                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
209451               , 143                 , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
209461               , 10                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
211524               , 2062                , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
211555               , 31                  , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
211564               , 8                   , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
211710               , 146                 , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
211730               , 19                  , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , shuttle        
211736               , 6                   , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
211802               , 65                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
211815               , 12                  , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , shuttle        
211821               , 5                   , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
211845               , 23                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
212022               , 177                 , 1        , 21       , 1       , 21       , 1       , SLEEPING ON              , cond var       
212042               , 20                  , 1        , 21       , 1       , 21       , 1       , PREEMPTED                ,                
212119               , 76                  , 1        , 21       , 1       , 21       , 1       , RESTART ON SAME CPU      ,                
212132               , 12                  , 1        , 21       , 1       , 21       , 1       , EXIT                     ,                
212289               ,                     , 1        , 8        , 2       ,          ,         , END                      ,                
