TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     ,          ,          ,         ,          ,         , BEGIN                    ,                
869                  , 869                 , 1        , 23       , 1       , 23       , 1       , CREATE                   ,                
881                  , 12                  , 1        , 23       , 1       , 23       , 1       , RESTART ON SAME CPU      ,                
910                  , 28                  , 1        , 23       , 1       , 23       , 1       , PREEMPTED                ,                
951                  , 40                  , 1        , 23       , 1       , 23       , 1       , RESTART ON SAME CPU      ,                
1427                 , 476                 , 1        , 23       , 1       , 23       , 1       , PREEMPTED                ,                
Threads: 64 Range: 99
Time: 42837.1 usecs
11897                , 3136                , 32       , 0        , 1       , 8        , 2       , CPU MIGRATION            ,                
11907                , 9                   , 32       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
32992                , 21084               , 32       , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
33003                , 10                  , 32       , 0        , 1       , 0        , 1       , PREEMPTED                ,                
33012                , 22564               , 64       , 0        , 1       , 8        , 2       , CPU MIGRATION            ,                
33020                , 8                   , 64       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
38517                , 5496                , 64       , 0        , 1       , 0        , 1       , PREEMPTED                ,                
38560                , 43                  , 64       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
45596                , 7035                , 64       , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
45602                , 5                   , 64       , 0        , 1       , 0        , 1       , PREEMPTED                ,                
53265                , 5964                , 33       , 0        , 1       , 2        , 1       , CPU MIGRATION            ,                
53296                , 30                  , 33       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
53385                , 4140                , 47       , 0        , 1       , 21       , 1       , CPU MIGRATION            ,                
53392                , 7                   , 47       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
53413                , 5144                , 45       , 0        , 1       , 20       , 1       , CPU MIGRATION            ,                
53419                , 6                   , 45       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
53437                , 7332                , 25       , 0        , 1       , 19       , 1       , CPU MIGRATION            ,                
53444                , 6                   , 25       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
53459                , 38                  , 1        , 0        , 1       , 17       , 1       , CPU MIGRATION            ,                
53466                , 6                   , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
53479                , 12                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
53488                , 9                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
53497                , 3951                , 55       , 0        , 1       , 6        , 1       , CPU MIGRATION            ,                
53505                , 7                   , 55       , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
53521                , 32                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
11377                , 3135                , 21       , 1        , 1       , 22       , 1       , CPU MIGRATION            ,                
11384                , 6                   , 21       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
32388                , 21004               , 21       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
32402                , 13                  , 21       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
32411                , 22080               , 63       , 1        , 1       , 17       , 1       , CPU MIGRATION            ,                
32419                , 7                   , 63       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
45596                , 13176               , 63       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
45605                , 9                   , 63       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
47515                , 15113               , 21       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
47534                , 18                  , 21       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
47542                , 7                   , 21       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
48664                , 5079                , 49       , 1        , 1       , 31       , 2       , CPU MIGRATION            ,                
48693                , 28                  , 49       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
48714                , 21                  , 49       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
48723                , 8                   , 49       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
49774                , 4168                , 63       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
49794                , 20                  , 63       , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
49806                , 11                  , 63       , 1        , 1       , 1        , 1       , PREEMPTED                ,                
53253                , 5659                , 27       , 1        , 1       , 22       , 1       , CPU MIGRATION            ,                
53278                , 25                  , 27       , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
11972                , 3158                , 33       , 2        , 1       , 17       , 1       , CPU MIGRATION            ,                
11982                , 9                   , 33       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
29722                , 17739               , 33       , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
29739                , 17                  , 33       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
29830                , 19675               , 59       , 2        , 1       , 17       , 1       , CPU MIGRATION            ,                
29838                , 7                   , 59       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
44957                , 15119               , 59       , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
44966                , 8                   , 59       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
47256                , 17516               , 33       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
47291                , 35                  , 33       , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
47300                , 9                   , 33       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
49421                , 4455                , 59       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
49433                , 12                  , 59       , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
49442                , 8                   , 59       , 2        , 1       , 2        , 1       , PREEMPTED                ,                
53205                , 7159                , 15       , 2        , 1       , 3        , 1       , CPU MIGRATION            ,                
53220                , 14                  , 15       , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
11122                , 3058                , 15       , 3        , 1       , 22       , 1       , CPU MIGRATION            ,                
11129                , 6                   , 15       , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
26233                , 15103               , 15       , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
26250                , 17                  , 15       , 3        , 1       , 3        , 1       , PREEMPTED                ,                
26269                , 17015               , 38       , 3        , 1       , 10       , 2       , CPU MIGRATION            ,                
26278                , 8                   , 38       , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
41616                , 15338               , 38       , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
41632                , 15                  , 38       , 3        , 1       , 3        , 1       , PREEMPTED                ,                
46014                , 19764               , 15       , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
46034                , 19                  , 15       , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
46045                , 11                  , 15       , 3        , 1       , 3        , 1       , PREEMPTED                ,                
47429                , 16782               , 17       , 3        , 1       , 23       , 1       , CPU MIGRATION            ,                
47454                , 25                  , 17       , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
47472                , 17                  , 17       , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
47482                , 10                  , 17       , 3        , 1       , 3        , 1       , PREEMPTED                ,                
53246                , 5763                , 17       , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
11607                , 2939                , 29       , 4        , 1       , 17       , 1       , CPU MIGRATION            ,                
11617                , 9                   , 29       , 4        , 1       , 4        , 1       , RESTART ON SAME CPU      ,                
29003                , 17386               , 29       , 4        , 1       , 4        , 1       , SLEEPING ON              , cond var       
29015                , 11                  , 29       , 4        , 1       , 4        , 1       , PREEMPTED                ,                
29026                , 19043               , 54       , 4        , 1       , 10       , 2       , CPU MIGRATION            ,                
29034                , 8                   , 54       , 4        , 1       , 4        , 1       , RESTART ON SAME CPU      ,                
44701                , 15667               , 54       , 4        , 1       , 4        , 1       , SLEEPING ON              , cond var       
44707                , 5                   , 54       , 4        , 1       , 4        , 1       , PREEMPTED                ,                
