TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
6961                 , 6961                , 12       , 13       , 2       , 13       , 2       , CREATE                   ,                
6966                 , 5                   , 12       , 13       , 2       , 13       , 2       , RESTART ON SAME CPU      ,                
6979                 , 13                  , 12       , 13       , 2       , 13       , 2       , SLEEPING ON              , cond var       
6987                 , 7                   , 12       , 13       , 2       , 13       , 2       , PREEMPTED                ,                
8930                 , 1943                , 12       , 24       , 2       , 13       , 2       , CPU MIGRATION            ,                
8936                 , 6                   , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
40100                , 31163               , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
79606                , 39506               , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
99594                , 19988               , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
99615                , 20                  , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
119593               , 19978               , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
119613               , 19                  , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
141442               , 21829               , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
141763               , 321                 , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
141787               , 23                  , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
141831               , 44                  , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
159594               , 17762               , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
159612               , 18                  , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
179593               , 19980               , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
179608               , 15                  , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
184762               , 5153                , 12       , 24       , 2       , 24       , 2       , SLEEPING ON              , cond var       
184777               , 14                  , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
185368               , 590                 , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
185379               , 11                  , 12       , 24       , 2       , 24       , 2       , SLEEPING ON              , cond var       
185398               , 18                  , 12       , 24       , 2       , 24       , 2       , PREEMPTED                ,                
187760               , 2362                , 12       , 24       , 2       , 24       , 2       , RESTART ON SAME CPU      ,                
188283               , 522                 , 12       , 24       , 2       , 24       , 2       , EXIT                     ,                
