TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 30       , 2       ,          ,         , BEGIN                    ,                
833                  , 833                 , 1        , 0        , 1       , 0        , 1       , CREATE                   ,                
844                  , 11                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
867                  , 22                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
913                  , 45                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
1390                 , 476                 , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
2100                 , 710                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
2132                 , 31                  , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
2160                 , 28                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
2390                 , 229                 , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
2415                 , 25                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
2425                 , 9                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
2450                 , 25                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
6510                 , 4059                , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
6517                 , 7                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
7095                 , 577                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
279701               , 272606              , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
279709               , 7                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
279779               , 69                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
279798               , 19                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
279805               , 6                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
280020               , 215                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
280129               , 109                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
280137               , 7                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
281972               , 1835                , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282000               , 27                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282006               , 6                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282147               , 140                 , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282164               , 17                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , shuttle        
282170               , 5                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282230               , 60                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282241               , 11                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , shuttle        
282247               , 5                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282268               , 20                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282447               , 179                 , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282456               , 8                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282477               , 20                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282492               , 15                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282500               , 7                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282512               , 12                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282517               , 4                   , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282522               , 4                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282538               , 16                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282544               , 5                   , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282550               , 6                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282570               , 19                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282575               , 5                   , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282580               , 5                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282604               , 24                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282613               , 8                   , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282618               , 5                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282631               , 12                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282636               , 5                   , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282641               , 4                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282652               , 11                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282657               , 4                   , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282662               , 4                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282674               , 12                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282686               , 11                  , 1        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
282691               , 5                   , 1        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
282756               , 64                  , 1        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
282760               , 4                   , 1        , 0        , 1       , 0        , 1       , EXIT                     ,                
282783               ,                     , 1        , 30       , 2       ,          ,         , END                      ,                
