TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
6099                 , 6099                , 7        , 31       , 2       , 31       , 2       , CREATE                   ,                
6103                 , 4                   , 7        , 31       , 2       , 31       , 2       , RESTART ON SAME CPU      ,                
6114                 , 10                  , 7        , 31       , 2       , 31       , 2       , SLEEPING ON              , cond var       
6130                 , 16                  , 7        , 31       , 2       , 31       , 2       , PREEMPTED                ,                
8084                 , 1953                , 7        , 15       , 2       , 31       , 2       , CPU MIGRATION            ,                
8090                 , 5                   , 7        , 15       , 2       , 15       , 2       , RESTART ON SAME CPU      ,                
47340                , 39249               , 7        , 15       , 2       , 15       , 2       , PREEMPTED                ,                
86946                , 39606               , 7        , 15       , 2       , 15       , 2       , RESTART ON SAME CPU      ,                
126934               , 39988               , 7        , 15       , 2       , 15       , 2       , PREEMPTED                ,                
166938               , 40003               , 7        , 15       , 2       , 15       , 2       , RESTART ON SAME CPU      ,                
172794               , 5855                , 7        , 15       , 2       , 15       , 2       , SLEEPING ON              , cond var       
172801               , 7                   , 7        , 15       , 2       , 15       , 2       , PREEMPTED                ,                
183010               , 10209               , 7        , 15       , 2       , 15       , 2       , RESTART ON SAME CPU      ,                
183021               , 10                  , 7        , 15       , 2       , 15       , 2       , SLEEPING ON              , cond var       
183027               , 6                   , 7        , 15       , 2       , 15       , 2       , PREEMPTED                ,                
186822               , 3794                , 7        , 11       , 2       , 15       , 2       , CPU MIGRATION            ,                
186828               , 6                   , 7        , 11       , 2       , 11       , 2       , RESTART ON SAME CPU      ,                
187109               , 280                 , 7        , 11       , 2       , 11       , 2       , EXIT                     ,                
