TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 29       , 2       ,          ,         , BEGIN                    ,                
852                  , 852                 , 1        , 2        , 1       , 2        , 1       , CREATE                   ,                
873                  , 20                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
929                  , 55                  , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
967                  , 38                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1422                 , 455                 , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2033                 , 610                 , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
2066                 , 33                  , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2095                 , 28                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
2305                 , 210                 , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2331                 , 26                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
2341                 , 9                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
2367                 , 26                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
6075                 , 3707                , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
6085                 , 9                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
6135                 , 49                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
6087                 , 6087                , 2        , 9        , 2       , 9        , 2       , CREATE                   ,                
6094                 , 7                   , 2        , 9        , 2       , 9        , 2       , RESTART ON SAME CPU      ,                
6133                 , 39                  , 2        , 9        , 2       , 9        , 2       , SLEEPING ON              , cond var       
6143                 , 9                   , 2        , 9        , 2       , 9        , 2       , PREEMPTED                ,                
6155                 , 12                  , 2        , 9        , 2       , 9        , 2       , RESTART ON SAME CPU      ,                
Threads: 2 Range: 262144
Time: 1.88614e+06 usecs
1891800              , 1885665             , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
1891809              , 9                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
1891822              , 12                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1891977              , 155                 , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
1891996              , 18                  , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
1893963              , 1967                , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1894018              , 55                  , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
1894024              , 5                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
1894184              , 160                 , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1894228              , 43                  , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , shuttle        
1894233              , 5                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
1894298              , 64                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1894308              , 10                  , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , shuttle        
1894313              , 4                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
1894332              , 18                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1894560              , 228                 , 1        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
1894566              , 6                   , 1        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
1894641              , 74                  , 1        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
1894654              , 12                  , 1        , 2        , 1       , 2        , 1       , EXIT                     ,                
1891785              , 1885630             , 2        , 9        , 2       , 9        , 2       , SLEEPING ON              , cond var       
1891792              , 6                   , 2        , 9        , 2       , 9        , 2       , PREEMPTED                ,                
1891802              , 9                   , 2        , 9        , 2       , 9        , 2       , RESTART ON SAME CPU      ,                
1891816              , 14                  , 2        , 9        , 2       , 9        , 2       , SLEEPING ON              , cond var       
1891822              , 5                   , 2        , 9        , 2       , 9        , 2       , PREEMPTED                ,                
1894569              , 2747                , 2        , 9        , 2       , 9        , 2       , RESTART ON SAME CPU      ,                
1894588              , 19                  , 2        , 9        , 2       , 9        , 2       , EXIT                     ,                
1894870              ,                     , 1        , 29       , 2       ,          ,         , END                      ,                
