TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 5        , 1       ,          ,         , BEGIN                    ,                
885                  , 885                 , 1        , 25       , 2       , 25       , 2       , CREATE                   ,                
895                  , 10                  , 1        , 25       , 2       , 25       , 2       , RESTART ON SAME CPU      ,                
930                  , 34                  , 1        , 25       , 2       , 25       , 2       , PREEMPTED                ,                
976                  , 46                  , 1        , 25       , 2       , 25       , 2       , RESTART ON SAME CPU      ,                
1448                 , 471                 , 1        , 25       , 2       , 25       , 2       , PREEMPTED                ,                
Threads: 8 Range: 262144
Time: 523770 usecs
6411                 , 6411                , 6        , 0        , 1       , 0        , 1       , CREATE                   ,                
6424                 , 13                  , 6        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
6464                 , 40                  , 6        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
6493                 , 29                  , 6        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
6681                 , 187                 , 6        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
523506               , 516824              , 6        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
523515               , 9                   , 6        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
529582               , 6066                , 6        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
529597               , 15                  , 6        , 0        , 1       , 0        , 1       , SLEEPING ON              , cond var       
529605               , 7                   , 6        , 0        , 1       , 0        , 1       , PREEMPTED                ,                
532330               , 2725                , 6        , 0        , 1       , 0        , 1       , RESTART ON SAME CPU      ,                
532381               , 50                  , 6        , 0        , 1       , 0        , 1       , EXIT                     ,                
523555               , 36                  , 4        , 1        , 1       , 18       , 1       , CPU MIGRATION            ,                
523563               , 7                   , 4        , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
523579               , 15                  , 4        , 1        , 1       , 1        , 1       , SLEEPING ON              , cond var       
523585               , 6                   , 4        , 1        , 1       , 1        , 1       , PREEMPTED                ,                
529504               , 5918                , 4        , 1        , 1       , 1        , 1       , RESTART ON SAME CPU      ,                
