TIMESTAMP (us)       , DELTA (us)          , TID      , CURR CPU , CURR GRP, LAST CPU , LAST GRP, TYPE                     , DESCRIPTION    
0                    ,                     , 1        , 11       , 2       ,          ,         , BEGIN                    ,                
858                  , 858                 , 1        , 3        , 1       , 3        , 1       , CREATE                   ,                
880                  , 21                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
924                  , 44                  , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
975                  , 51                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
Threads: 4 Range: 262144
Time: 979503 usecs
6717                 , 6717                , 3        , 2        , 1       , 2        , 1       , CREATE                   ,                
6722                 , 5                   , 3        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
6739                 , 16                  , 3        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
6746                 , 6                   , 3        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
6856                 , 110                 , 3        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
980258               , 973401              , 3        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
980265               , 7                   , 3        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
985707               , 5441                , 3        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
985720               , 13                  , 3        , 2        , 1       , 2        , 1       , SLEEPING ON              , cond var       
985726               , 5                   , 3        , 2        , 1       , 2        , 1       , PREEMPTED                ,                
988184               , 2458                , 3        , 2        , 1       , 2        , 1       , RESTART ON SAME CPU      ,                
988195               , 10                  , 3        , 2        , 1       , 2        , 1       , EXIT                     ,                
1410                 , 435                 , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
2033                 , 622                 , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
2073                 , 39                  , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
2100                 , 26                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
2313                 , 213                 , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
2359                 , 46                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
2385                 , 25                  , 1        , 3        , 1       , 3        , 1       , PREEMPTED                ,                
2429                 , 44                  , 1        , 3        , 1       , 3        , 1       , RESTART ON SAME CPU      ,                
6731                 , 4302                , 1        , 3        , 1       , 3        , 1       , SLEEPING ON              , cond var       
